0.0,0.0,3877,0
24.0,40.0,3877,0
24.0,40.0,3877,0
24.0,40.0,3877,0
24.0,40.0,3877,0
24.0,40.0,3877,0
24.0,40.0,3877,0
24.0,40.0,3877,0
24.0,40.0,3877,0
24.0,40.0,3877,0
80.0,100.0,3877,1
80.0,100.0,3877,1
80.0,100.0,3877,1
80.0,100.0,3877,1
80.0,100.0,3984,1
80.0,100.0,2639,1
80.0,100.0,2639,1
80.0,100.0,2639,1
80.0,100.0,2639,1
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
80.0,100.0,843,0
27.71,74.55,141,0
55.18,49.38,4099,1
30.15,64.65,323,0
32.65,58.17,334,0
26.0,42.81,384,0
27.46,68.48,382,0
30.15,49.54,174,0
33.67,80.0,407,0
54.72,43.27,3090,1
30.54,62.93,189,0
53.37,41.03,2065,1
28.85,73.82,278,0
68.18,64.05,2310,1
30.82,67.93,286,0
72.28,46.13,3805,1
70.93,40.19,3479,1
50.61,56.77,2346,1
32.73,57.66,245,0
32.89,59.31,183,0
27.72,40.14,232,0
73.82,63.34,2312,1
56.88,66.09,3821,1
31.6,40.14,374,0
32.09,70.83,148,0
34.24,62.83,104,0
34.73,65.98,363,0
28.92,73.85,278,0
57.63,47.88,3320,1
26.26,53.58,195,0
34.77,49.92,354,0
52.84,66.37,2094,1
65.74,53.22,2819,1
32.1,41.32,198,0
57.07,65.31,3010,1
26.75,63.29,356,0
30.33,79.33,227,0
56.64,47.05,2185,1
71.73,75.28,4019,1
28.49,71.92,316,0
25.47,65.35,265,0
32.38,71.04,402,0
62.38,45.53,2418,1
80.64,72.09,3416,1
33.24,48.91,273,0
29.74,64.74,365,0
80.86,46.58,3969,1
61.86,59.52,3590,1
31.92,73.21,407,0
76.76,59.84,2004,1
73.8,75.0,3877,1
80.31,43.87,3409,1
31.9,77.65,342,0
32.36,62.83,137,0
71.39,65.13,3526,1
